input,output
"Using this simple rule, a complete beginner at chess would expect to win more than half of their 
games against another complete beginner who doesn’t know it.  Obviously, in any undertaking as 
complex as chess, one simple rule falls far short of complete understanding.  As a beginner becomes 
more advanced and progresses, they will learn new rules – as well as some exceptions to them.  In 
much the same way, we will begin with a few basic rules of winning Othello and then build on them.  
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
14 
Corners Are Good 
For beginning and intermediate players, games often revolve around battles for corners.  As a first 
step, let’s take a look at a classic example of how important corners are. 
 
 
White To Play 
 
Looking at the above position, a complete beginner might assume that black is winning by a large 
margin.  After all, black has 59 disks while white only has 1.  Unfortunately, not very many of black’s 
disks will remain black at the end of the game, in fact, in this position, white will get to play to all four 
corners (because black will have no legal moves) and will win the game.  It doesn’t matter what order 
the moves are played in as they all result in the same finishing position.  Let’s look at the moves as 
they’re played. 
 
 
 
WHITE PLAYS A1 
WHITE PLAYS A8 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
15 
 
 
WHITE PLAYS H8 
WHITE PLAYS H1
According to the above context, answer the following question.
What will happen after the game?",White will win
"Read the following article and answer the question.
Article: Copyright © 2003, Randy Fang 
 
15 
 
 
WHITE PLAYS H8 
WHITE PLAYS H1 
White wins 40-24! 
A reasonable question at this point might be - Why are corners important?  The simple answer is that 
a corner is a guaranteed stable disk because there are no moves that outflank a corner.  A stable 
disk is a disk that your opponent can never flip back to his or her color.  Obviously, the more disks 
you have that are guaranteed to be your color at the end of the game, the more likely you are to win 
the game. Another great thing about corners is that you can use them to build more stable disks.  
Let’s take a look at another fantasy board to demonstrate how stable disks can be built from corners. 
 
 
WHITE TO PLAY 
 
Here, white can create stable disks along either the A column or the 1 row by building off of the A1 
corner.  An example of this is on the next page. 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
16 
 
 
WHITE PLAYS E1 
WHITE PLAYS A5 
 
Note that the 9 white disks on the edge from A1-A5 and from A1-E1 are all stable – however, the 
white disks on B4, C3, and D2, while they can’t be flipped in the current position, are not yet stable.  
For instance, if white were to play F2 then black could play G2 which would flip the D2 disk. While 
white is guaranteed a score of at least 9 at the end of the game, black has no stable disks at all.  Let’s
Question: What is the main purpose of the text?
Answer:",To teach how to play Othello.
"take a look at an example illustrating how building off of corners will result in accumulating stable 
disks. 
 
 
BLACK TO PLAY 
 
Black can play either A7 or H1 and get more stable disks.  Following the rule that corners are very 
valuable, we will build towards the corner at H1.  White will then have to pass because white will have 
no legal moves. 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
17 
 
 
BLACK PLAYS H1 – WHITE PASSES 
BLACK PLAYS G2 
 
Since we are building towards the H1 corner, we should try to consolidate the northeast region of the 
board and fill it in with black disks, in the meantime, we are going to save the move to A7 (because it 
won’t go away) until later.  We’ll play G2 which forces white to play G3 because white has no other 
valid moves. 
 
 
 
WHITE PLAYS G3 
BLACK PLAYS H3 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
18 
 
After white plays G3, we’ll play H3 because this gives us 3 more stable disks and helps consolidate 
even more of the northeast region to black.  Again, we’ll leave white a move here.  Often, when you’re 
building you’ll need to leave moves for your opponent.  Yes, white gets a disk at G3 and at H2 for the 
moment, however, look how quickly, those disks both turn into stable disks for black in that region.  By 
forcing white to play there after black already has the corner to build off of, black can turn those disks 
into stable black disks.
According to the above context, answer the following question.
What is the purpose of the text?",To explain how to play Othello
"into stable black disks. 
 
 
 
WHITE PLAYS H2 
BLACK PLAYS H4 
 
 
WHITE PLAYS H5 
BLACK PLAYS H6 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
19 
 
 
BLACK PLAYS G4 
BLACK PLAYS G5 
 
Let’s stop here and assess the situation.  Black already has 31 stable disks and has guaranteed that 
even if the 2 unstable black disks (D5 and E5) get flipped to white and white gets stable disks on the 
rest of the squares (very unlikely), black will still only lose the game 33-31.  If black were a 
conservative player, black could play A7 next, which would give black 7 more stable disks and 
guarantee at least a 38-26 win.  Unfortunately for white, black doesn’t have to play A7 which “only” 
wins 58-6 with perfect endgame play.  Instead, black can play F7 which leads to a perfect play win by 
wipeout for black.  A wipeout is the term for when one player ends the game with zero disks left on 
the board.  In this game the final score after perfect play is 62-0 for black.  Here’s a transcript that 
shows the perfect endgame from the original starting position: 
 
 
TRANSCRIPT OF WIPEOUT 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
20 
Later in the book, I will refer to the process of winning a clearly won game as “a matter of technique”.  
In the next few exercises I’m going to present you with the chance to win a few lopsided games to get 
a feel for how to do it for yourself.
Question: What is probably true about Randy Fang?
===
The answer to the above question is",He is a game expert
"a feel for how to do it for yourself. 
 
Exercises:  For each of the following positions, set them up on a board (real or computer) and play 
out a forcing sequence that leads to a wipeout win.  Note that in many of these positions, there are 
several sequences that lead to a wipeout and I’ve only provided what I consider the simplest solution.  
If you find another way – good job! 
 
1. 
2. 
 
 
White To Play 
White To Play 
3. 
4. 
 
 
White To Play 
White To Play 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
21 
 
 
Answers: 
 
1. 
2. 
 
 
3. 
4. 
 
 
 
 
 
 
 
 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
22 
A Few More Tips 
While corners are good and building off of them is good, that only describes 4 squares on the board.  
What else can we learn about the relative values of squares? 
 
Exercise: Can you spot white’s two worst moves in the following position? 
 
 
WHITE TO PLAY 
 
Answer: B1 and B2 are white’s worst two moves. 
 
Why?  Let’s take a look at what the position would be after B1 and after B2: 
 
 
 
AFTER B1 
OR AFTER B2 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
23 
In either case, black can now take the A1 corner!  None of the other valid moves for white from the 
starting position give black a corner on the very next turn.  The thing we can learn from this is that the
According to the above context, answer the following question.
What is the most likely reason that the author wrote this book?",to teach people how to play othello
"squares adjacent to the corner are dangerous to play into.  Othello terminology has special names for 
these squares: C-squares and X-squares. 
 
 
C-squares are adjacent to the corner on the 
edge.   
 
In the diagram to the left, the white disks are the 
C-squares on the board. 
 
 
 
 
X-squares are the squares that are adjacent to 
the corner diagonally.   
 
In the diagram to the left, the white squares are 
the X-squares. 
 
 
 
Now that we have the correct vocabulary, we can summarize what we’ve learned so far: corners are 
good, while C-squares and X-squares are dangerous for us to play into because if we’re not careful, 
our opponent will take a corner when we play into them.  Even when there is no immediate threat of 
your opponent taking the corner, it’s usually best to stay away from C-squares and X-squares.  Let’s 
take a look at a couple of examples: 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
24 
 
 
BEFORE WHITE PLAYS G8 
AFTER WHITE PLAYS G8 
 
If white were to play G8, as diagrammed, black can’t immediately take the corner.  However, at any 
move after this, black can choose to play F8 and after that black will be able to take the H8 corner on 
his or her next move. 
 
 
BLACK PLAYS F8 AND WINS THE H8 CORNER 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
25 
 
 
WHITE PLAYS H7 
BLACK PLAYS H6
Question: Why should you avoid C-squares and X-squares?
===
The answer to the above question is",your opponent will take a corner when you play into them
"Read the following article and answer the question.
Article: Copyright © 2003, Randy Fang 
 
25 
 
 
WHITE PLAYS H7 
BLACK PLAYS H6 
 
In the above diagram, white has just played H7.  After black plays H6, black is guaranteed to win the 
H8 corner.  If white doesn’t take the disk at H6 by playing H5, black takes the corner.  If white does 
take the disk at H6 by playing H5, black will still have a disk at H4 and black can take the H8 corner 
on the next turn. 
 
 
 
 
WHITE PLAYS H5 
BLACK PLAYS H8 
 
This is not to say that all C-squares are bad.  In both the above examples, notice how the C-squares 
that were played aren’t adjacent to any other white edge disks.  C-squares tend to be bad when they 
are isolated.  They aren’t as bad when you have disks adjacent to them on the edge.   
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
26 
For example: In the following diagram, the C-squares at B1 and G1 aren’t a liability for black because 
there isn’t a way for white to attack them.  In fact, as we’ll discuss later on, edges where you have 6 
disks (B1 through G1 in this case) are one of the best edge formations you can have. 
 
 
 
By not giving up corners (and avoiding playing into C-squares and X-squares which may result in 
losing a corner) , taking corners – when they’re available, and building off of the corners that you do 
get,  you’ll beat almost every complete beginner that you meet. 
 
Try playing a few games now and getting a better feel for how to apply these simple rules.  You
Question: According to the passage, a C-square is   _  .
Answer:",a square with only one white disk
"Try playing a few games now and getting a better feel for how to apply these simple rules.  You 
should be able to hold your own with other beginners; however, you will find many players who have 
advanced beyond this level.  Don’t be discouraged by this, it isn’t completely unexpected.  After all, 
I’ve only talked about one basic rule of the game, and what you do when there aren’t any corner 
moves available has to have some impact on the result of the game, right? 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
27 
More Othello Concepts 
 
Greed is One of the Seven Deadly Sins 
 
In the last section, I talked about the importance of corners.  Obviously, corners aren’t available at the 
beginning of the game.  What you really want to know next is: what other rules can I follow during the 
rest of the game so that I have a chance at beating more than just beginners?  If you followed my 
advice and played a few games with some beginning and intermediate players, you may have started 
to notice a pattern.   
 
Let’s take a look at a sample position: 
 
 
 
BLACK TO PLAY 
 
 
What assets does white have in the above position?  He’s got a lot of pieces, certainly.  To the 
untrained eye, it might even look like white is way ahead (after all, white has more pieces!).  But if you 
look more closely, while it’s black’s turn to move, white only has 2 legal moves in the above position.
According to the above context, answer the following question.
How long has Randy Fang probably played Othello?",For many years
"And what’s worse BOTH of those moves will let black have the corner shortly afterwards.  From the 
last section, we know that that has to be bad news for white.  Luckily for white – black has to play a 
move here.  Black has lots of choices, from the absolutely horrendous G2 (giving up a corner) to B5 to 
E1.  If black were to play B5 here, white would then play A5 or B6 (as the other 3 legal moves in the 
position would  give away a corner). 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
28 
 
 
BLACK PLAYS B5 
WHITE PLAYS A5 
 
That hasn’t made any progress for black and it is black’s turn to move again.  What if black played A5 
here instead?  White would respond A6 (because black would then be threatening to take the corner 
by playing along the A edge if white were to play B5). 
 
 
 
BLACK PLAYS A5 
WHITE PLAYS A6 
 
This also doesn’t accomplish much.  Unfortunately for white, black has a much better move here,E1.  
After E1, white STILL has the same 2 moves that lose the corner. 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
29 
 
BLACK PLAYS E1 
 
I like to call moves like E1 the killer move because after this the game is effectively over and it turns 
into a process of getting the corner in the best way and building from there.  Similarly, there are often 
sequences of 2 or more moves that win immediately and I call those killer sequences.
According to the above context, answer the following question.
What is the name of the book that the author wrote?",Othello: From Beginner to Master
"sequences of 2 or more moves that win immediately and I call those killer sequences. 
 
In Othello terminology, a quiet move is a move that doesn’t disturb the position very much.  On the 
other hand, a loud move is a move that changes the position significantly.  In fact, in the above 
example E1 is a Perfectly Quiet Move because it flips exactly 1 disk and it provides no new moves to 
the opponent (therefore it’s as quiet as any legal move in Othello can be – it doesn’t change the board 
very much at all).  To clarify a bit more, your opponent will have the same (or fewer) moves both 
before and after you play a Perfectly Quiet Move.  In the above example, before black plays E1, 
white can play to B1 and B2.  After black plays to E1, white STILL can only play to B1 and B2.  As a 
general rule, if there is a perfectly quiet move on the board it is almost always the right move to play. 
 
What can we learn from the above position?  With good play, you can force your opponent to give you 
corners – even if they’ve discovered how valuable corners are and they are also avoiding playing into 
X-squares and C-squares.  The real question is: how do you get into positions where your opponent 
will have to give you a corner? 
 
Let’s take a look at another example: 
 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
30 
 
BLACK TO PLAY
According to the above context, answer the following question.
What is the author's favorite game?",not enough information
"Read the following article and answer the question.
Article: Copyright © 2003, Randy Fang 
 
30 
 
BLACK TO PLAY 
 
Black can play the perfectly quiet move to H6 after which white can respond by playing 4 ways: H2, 
H3, G2, G1. 
 
 
BLACK PLAYS H6 
 
We can be pretty sure that white isn’t going to play G1 as that immediately gives black a corner. 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
31 
 
IF WHITE PLAYED G1 
 
H3 might appear good, but after H3 black can play H2 and  white will be forced to play G2 or G1 – 
both of which lose the corner. 
 
 
 
IF WHITE PLAYS H3 
BLACK PLAYS H2 
 
 
G2 isn’t much better than H3.  In fact the only way that white can try to hold on is to play H2, a 
dangerous (but necessary) C-square.  After black plays C1 in response, white will have to play E1 or 
D1. 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
32 
 
 
IF WHITE PLAYS H2 
BLACK PLAYS E1 
 
White only has these 2 moves that don’t give up the corner – both are on the north edge.  No matter 
which of these moves to the north edge that white plays next, black will play the other.  If white plays 
D1, black will play E1, and vice versa, we call such moves paired – when the obvious response to a 
move is another move and vice versa.  After the move pair is played out, white will be forced to give 
up the H1 corner on his next turn. 
 
 
 
IF WHITE PLAYS D1 
BLACK PLAYS E1 
Othello: From Beginner to Master – More Othello Concepts
Question: If white plays D1, black will play E1, and vice versa, we call such moves paired - when the obvious response to a move is another move and vice versa. After the move pair is played out, white will be forced to give up the H1 corner on his next turn.
Answer:","After the move pair is played out, white will be forced to give up the H1 corner on his next turn."
"Read the following article and answer the question.
Article: IF WHITE PLAYS D1 
BLACK PLAYS E1 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
33 
 
 
IF WHITE PLAYS E1 
BLACK PLAYS D1 
 
So if it’s black’s turn, white will lose.  What about if it’s white’s turn?  White could play H3 ,making a 
black move to H6 pointless (White just plays H7 after H6), however then black will just play E1 
instead, forcing white to play D1 and then black will play C1 forcing white to lose a corner.   
 
Obviously, whatever it is about the previous starting positions that is bad, it carries over no matter 
whose turn it is.  In order to figure out how to force our opponents to give us corners, we need to 
figure out what features the two diagrammed positions have in common.  White’s real problem in both 
positions is that he doesn’t really have a lot of options to begin with and the options that he has aren’t 
very good.  When you have lots of moves to choose from you are said to “have lots of mobility”.  
When you don’t have many moves to choose from you are “low on mobility”.  Having good mobility  
(having good moves) is a very important part of the game.  If you have a lot of mobility – at least a few 
of those moves are bound to be good.  And the opposite is true, if you don’t have very many moves – 
you might not have any good moves at all. 
 
Many games between an expert and a beginner are decided in terms of mobility alone.  The expert
Question: What is the purpose of the passage?
Answer:",To teach how to play Othello.
"Read the following context and answer the question.
Context: Many games between an expert and a beginner are decided in terms of mobility alone.  The expert 
quickly runs the beginner out of good moves, and then forces the beginner to give up a corner (by 
leaving the beginner one or two moves that both lose a corner) and from there it’s all a matter of 
technique. 
 
Why doesn’t white have much mobility in the above diagrams?  Because black doesn’t have a lot of 
disks., Obviously if black only has 3 or 4 disks, white will probably have only 2 or 3 moves.  If those 2 
or 3 moves are all moves that give away a corner, then black is probably going to win.  The point I’m 
trying to make here is that by having fewer disks, you can get into positions where your opponent is 
forced to give you a corner.  Having fewer disks is actually better most of the time! 
 
Unfortunately, this can be a very difficult lesson to learn.  The “goal” of the game is to get the most 
disks, right?  Wrong.  The goal of the game is to have the most disks at the end of the game.  We’ve 
already seen how having corners leads to stable disks and we know that stable disks lead to more 
disks at the end of the game.  In between the start and the end of the game, our goal is to put 
ourselves into a position where we’re likely to have the most disks at the end of the game.  If this 
means having fewer disks in the opening and midgame, then so be it. 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
34
Question: What is the goal of the game?
Answer:",to have the most disks at the end
