input,output
"Refer to the passage below and answer the following question:

Passage: Black already has 31 stable disks and has guaranteed that 
even if the 2 unstable black disks (D5 and E5) get flipped to white and white gets stable disks on the 
rest of the squares (very unlikely), black will still only lose the game 33-31.

Question: How many unstable disks does Black have?",2
"If black were a 
conservative player, black could play A7 next, which would give black 7 more stable disks and 
guarantee at least a 38-26 win.

Q: What would black's next move guarantee?

A:",at least a 38-26 win
"Given the following context:

Unfortunately for white, black doesn’t have to play A7 which “only” 
wins 58-6 with perfect endgame play.

answer the following question:

What is the name of the person who doesn't have to play A7?",black
"Instead, black can play F7 which leads to a perfect play win by 
wipeout for black.

Q: What does black play to win?

A:",F7
"I have a new situation: Two friends play a disk game. They try to get as many disks as possible on the board. Bob gets 6 disks on the board and Bill gets 8 disks on the board. Bill wins the game.

But I can use this background: A wipeout is the term for when one player ends the game with zero disks left on 
the board.

What is an answer for this question: Who has more disks on the board?",Bill
"Given the following context:

In this game the final score after perfect play is 62-0 for black.

answer the following question:

What is the final score of the game?",62-0
"Given the following context:

Here’s a transcript that 
shows the perfect endgame from the original starting position: 
 
 
TRANSCRIPT OF WIPEOUT 
 
 
Othello: From Beginner to Master – Othello

answer the following question:

What is the name of the game that has a perfect endgame?",Othello
"I have a test where I am given the following article, what is an answer for the question: What is the name of the person who will refer to the process of winning a clearly won game as ""a matter of technique""? ?

101 
Copyright © 2003, Randy Fang 
 
20 
Later in the book, I will refer to the process of winning a clearly won game as “a matter of technique”.",Randy Fang
"I have a test where I am given the following article, what is an answer for the question: What will the narrator be doing next? ?

In the next few exercises I’m going to present you with the chance to win a few lopsided games to get 
a feel for how to do it for yourself.",present you with the chance to win a few lopsided games
"Exercises:

With reference to the above context, What does the coach tell the team to do before the game?",warm up
"Given the following context:

For each of the following positions, set them up on a board (real or computer) and play 
out a forcing sequence that leads to a wipeout win.

answer the following question:

What is the first thing to do to play out a forcing sequence?",set them up on a board
"Note that in many of these positions, there are 
several sequences that lead to a wipeout and I’ve only provided what I consider the simplest solution.

Q: What is the simplest solution?

A:",I’ve only provided what I consider the simplest solution
"If you find another way – good job!

Q: What does the narrator say if you find another way?

Referring to the passage above, the correct answer to the given question is",good job!
"Given the following context:

1. 
2. 
 
 
White To Play 
White To Play 
3. 
4. 
 
 
White To Play 
White To Play 
 
 
Othello: From Beginner to Master – Othello

answer the following question:

What is the name of the game that is played by White?",Othello
"I have a test where I am given the following article, what is the answer for the question: What is the full name of the person whose work is copyrighted? ?

101 
Copyright © 2003, Randy Fang 
 
21 
 
 
Answers: 
 
1. 
2. 
 
 
3. 
4.",Randy Fang
"I have a new situation: John and Keith are playing Othello. Keith is a beginner, while John has been playing for years.

But I can use this background: Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
22 
A Few More Tips 
While corners are good and building off of them is good, that only describes 4 squares on the board.

What is an answer for this question: Which player will build off corners more?",Keith
"What else can we learn about the relative values of squares?

John is drawing squares on the board. He has a 100 square, a 50 square, and a 25 square. He wants to know how many 100 squares are equal to one 50 square.

How many 100 squares are equal to one 50 square?",two
"Question: What is the answer to the question?

Context: ""Exercise: Can you spot white’s two worst moves in the following position?""

Answer:",white’s two worst moves
"WHITE TO PLAY 
 
Answer: B1 and B2 are white’s worst two moves.

Q: What is the worst move for white?

A:",B1 and B2
"Why?

Q: What does the narrator say about the subject?

A:",Why?
"Given the following passage

""Let’s take a look at what the position would be after B1 and after B2: 
 
 
 
AFTER B1 
OR"",

answer the following question. Note that the answer is present within the text.

Question: What is the second letter in the word ""after""?",A
"AFTER B2 
 
Othello: From Beginner to Master – Othello

Q: What is the name of the Othello book?

A:",Othello: From Beginner to Master
"101 
Copyright © 2003, Randy Fang 
 
23 
In either case, black can now take the A1 corner!

Q: Who owns the copyright to this document?

Referring to the passage above, the correct answer to the given question is",Randy Fang
"Given the following context:

None of the other valid moves for white from the 
starting position give black a corner on the very next turn.

answer the following question:

What is the only move that can be made that will give Black a corner on the next turn?",None of the other valid moves for white
"You are given a new situation: A famous game of Go was being played between two grandmasters. The game was tough and went on for hours. Suddenly, grandmaster A made a mistake and put his stone on a dangerous square. Grandmaster B took advantage of the mistake and won the game.

and a hint : The thing we can learn from this is that the 
squares adjacent to the corner are dangerous to play into.

Please answer this question : Would grandmaster A be happy or unhappy with his move?",unhappy
"Given the following context:

Othello terminology has special names for 
these squares: C-squares and X-squares.

answer the following question:

What are the names of the special squares?",C-squares
"I have a new situation: David is trying to figure out how to play the game called squares. He is looking at the board and sees that there are several different types of squares. There are A-squares, B-squares, and C-squares. He is trying to decide which square to put his marker on.

But I can use this background: C-squares are adjacent to the corner on the 
edge.

What is an answer for this question: Which type of square is not adjacent to the corner on the edge?",B-squares
"In the diagram to the left, the white disks are the 
C-squares on the board.

The answer to the question: What is the name of the item that is the C-squares on the board? is",white disks
"I have a new situation: A rubik's cube is a 3D puzzle that is played by twisting the different faces of the cube in order to solve it. Each face of the cube has 9 squares, and each square has a different color.

But I can use this background: X-squares are the squares that are adjacent to 
the corner diagonally.

What is an answer for this question: Given a rubik's cube, what color will be on the x-squares?",different
"In the diagram to the left, the white squares are 
the X-squares.

Eric is playing tic-tac-toe against his friend Jordan. Eric has won the game because he has filled in all of the X-squares.

Who won the game?",Eric
"Now that we have the correct vocabulary, we can summarize what we’ve learned so far: corners are 
good, while C-squares and X-squares are dangerous for us to play into because if we’re not careful, 
our opponent will take a corner when we play into them.

Dan plays chess and has learned a secret chess move called the Glasgow Shuffle. Today, he is playing a tournament game against a very strong opponent. In the tournament game, Dan is white and his opponent is black.

Given the paragraph above, please answer correctly the following question: 

Which player is at more risk of losing their queen?",black
"I know that the answer to the question ""What is the first type of square mentioned?"" is in ""Even when there is no immediate threat of 
your opponent taking the corner, it’s usually best to stay away from C-squares and X-squares."". Can you tell me what it is?",C-squares
"Let’s 
take a look at a couple of examples: 
 
 
Othello: From Beginner to Master – Othello

Q: Who is Othello?

A:",From Beginner to Master
"101 
Copyright © 2003, Randy Fang 
 
24 
 
 
BEFORE WHITE PLAYS G8 
AFTER WHITE PLAYS G8

Q: When was this book copyrighted?

Referring to the passage above, the correct answer to the given question is",2003
"Extract the answer to the question from the following context.
Question: What is the color of the game piece that is being discussed?
Context: If white were to play G8, as diagrammed, black can’t immediately take the corner.",white
"However, at any 
move after this, black can choose to play F8 and after that black will be able to take the H8 corner on 
his or her next move.

Q: What can black choose to play after this?

Referring to the passage above, the correct answer to the given question is",F8
"BLACK PLAYS F8 AND WINS THE H8 CORNER 
 
 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
25 
 
 
WHITE PLAYS H7 
BLACK PLAYS H6

With reference to the above context, What does the copyright say?","Copyright © 2003, Randy Fang"
"Question: What will happen to White?

Context: ""In the above diagram, white has just played H7.""

Answer:",win the game
"After black plays H6, black is guaranteed to win the 
H8 corner.

Q: What is guaranteed after black plays H6?

A:","black is guaranteed to win the 
H8 corner"
"I read this background article the other day: If white doesn’t take the disk at H6 by playing H5, black takes the corner.

I am facing a new situation today: Two players are engaged in a game of disc-based strategy game. The goal of the game is to take all the disks from your opponent. Currently, the game is at a standstill with both players having an equal amount of disks. Both players are skilled and the game is expected to last several more hours.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Will playing H5 result in white taking the disk at H6?",no
"Given the following context:

If white does 
take the disk at H6 by playing H5, black will still have a disk at H4 and black can take the H8 corner 
on the next turn.

Answer the following question:

Black will have a disk at what location after white takes the disk at H6?",H4
"WHITE PLAYS H5

With reference to the above context, What does White play?",H5
"Given the following context:

BLACK PLAYS H8

answer the following question:

What is the name of the person who is playing?",BLACK
"This is not to say that all C-squares are bad.

Q: What is the text not saying about C-squares?

A:",all C-squares are bad
"Question: What is the name of the game in which the C-squares are played?

Context: In both the above examples, notice how the C-squares 
that were played aren’t adjacent to any other white edge disks.

Answer:",C-squares
"C-squares tend to be bad when they 
are isolated.

John was looking at the C-squares. He noticed that some of them were in isolation. He labeled those as case A. Then he noticed some of them were not in isolation. He labeled those as case B. He needed to figure out the science behind the isolation of C-squares.

In case B, would the C-squares be good or bad?",good
"I have a new situation: John is playing a game of Tetris. He has placed all the Tetris pieces except one. The last piece he has left is a piece with two big disks adjacent to them on the edge.

But I can use this background: They aren’t as bad when you have disks adjacent to them on the edge.

What is an answer for this question: Will the next piece be easier or harder to place?",easier
"I have a new situation: Dan and Bob are two friends. They play chess and Othello. They also like to read books about these games. Dan read the book ""Othello: From Beginner to Master – Othello 101"" written by Randy Fang. Bob hasn't read this book yet.

But I can use this background: Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
26

What is an answer for this question: Which friend read a book about Othello?",Dan
"For example: In the following diagram, the C-squares at B1 and G1 aren’t a liability for black because 
there isn’t a way for white to attack them.

Q: What is the reason that the C-squares are not a liability for black?

A:",there isn’t a way for white to attack them
"You are given a new situation: Bob is a professional backgammon player. He is playing a tournament where he has already won the first two matches. In the third match his opponent is a beginner. Bob is trying to figure out how to teach his opponent a lesson so he can win the match quickly.

and a hint : In fact, as we’ll discuss later on, edges where you have 6 
disks (B1 through G1 in this case) are one of the best edge formations you can have.

Please answer this question : Which player is more likely to win the match?",Bob
"Extract the answer to the question from the following context.
Question: What is the main point of the passage?
Context: By not giving up corners (and avoiding playing into C-squares and X-squares which may result in 
losing a corner) , taking corners – when they’re available, and building off of the corners that you do 
get,  you’ll beat almost every complete beginner that you meet.","taking corners – when they’re available, and building off of the corners that you do get, you’ll beat almost every complete beginner that you meet"
"Question: ""How can you get better at the game?""

Context: ""Try playing a few games now and getting a better feel for how to apply these simple rules.""

Answer:",Try playing a few games now and getting a better feel for how to apply these simple rules
"Question: ""What are you supposed to do if you play with people who are more advanced than you?""

Context: ""You 
should be able to hold your own with other beginners; however, you will find many players who have 
advanced beyond this level.""

Answer:",hold your own
"Don’t be discouraged by this, it isn’t completely unexpected.

Q: What is the narrator trying to do?

Referring to the passage above, the correct answer to the given question is",calm people down
"I can answer this question based on the following context.

Context: After all, 
I’ve only talked about one basic rule of the game, and what you do when there aren’t any corner 
moves available has to have some impact on the result of the game, right?

Question: What is the narrator discussing?",the game
"I have a new situation: Dan and Bob are two friends that play Othello together often. Dan has been playing for many years and is considered a master now. Bob is still a beginner and is learning from Dan.

But I can use this background: Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
27 
More Othello Concepts 
 
Greed is One of the Seven Deadly Sins

What is an answer for this question: Which player is more likely to be greedy?",Dan
"In the last section, I talked about the importance of corners.

Q: What did the writer talk about in the last section?

A:",the importance of corners
"I know that the answer to the question ""What is the game?"" is in ""Obviously, corners aren’t available at the 
beginning of the game."". Can you tell me what it is?",corners
"I have a new situation: Dan is a novice chess player. Recently, he played a chess match with his friend Mike, who is also a novice player. Mike has been learning chess for about a year. Dan has only been learning chess for a few months.

But I can use this background: What you really want to know next is: what other rules can I follow during the 
rest of the game so that I have a chance at beating more than just beginners?

What is an answer for this question: Who has a smaller chance of winning the match, Dan or Mike?",Dan
"Given the following context:

If you followed my 
advice and played a few games with some beginning and intermediate players, you may have started 
to notice a pattern.

answer the following question:

What is the narrator trying to do?",teach
"Let’s take a look at a sample position: 
 
 
 
BLACK TO PLAY 
 
 
What assets does white have in the above position?

With reference to the above context, What is the name of the position?",BLACK TO PLAY
"He’s got a lot of pieces, certainly.

Q: What does he have a lot of?

A:",pieces
"I have a new situation: David and James are playing a game of chess. David is a grandmaster, but James is only an amateur. David knows many chess strategies, but James does not.

But I can use this background: To the 
untrained eye, it might even look like white is way ahead (after all, white has more pieces!).

What is an answer for this question: Who is more likely to win the game?",David
"Given the following context:

But if you 
look more closely, while it’s black’s turn to move, white only has 2 legal moves in the above position.

answer the following question:

Which player has more legal moves?",black
"And what’s worse BOTH of those moves will let black have the corner shortly afterwards.

Q: What will happen to Black after the moves?

Referring to the passage above, the correct answer to the given question is",have the corner shortly afterwards
"From the 
last section, we know that that has to be bad news for white.

Given the question ""What will happen to White?"", what is the answer ""be bad news for White""?",bad news
"Luckily for white – black has to play a 
move here.

With reference to the above context, What does black have to do?",play a move
"Given the following context:

Black has lots of choices, from the absolutely horrendous G2 (giving up a corner) to B5 to 
E1.

Answer the following question:

What is the name of the move that gives up a corner?",G2
"If black were to play B5 here, white would then play A5 or B6 (as the other 3 legal moves in the 
position would  give away a corner).

Q: What would happen if black played B5?

A:",white would then play A5 or B6
"Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
28 
 
 
BLACK PLAYS B5 
WHITE PLAYS A5 
 
That hasn’t made any progress for black and it is black’s turn to move again.

With reference to the above context, Who wrote Othello: From Beginner to Master?",Randy Fang
"I have a new situation: What if black played A5 
here instead?

But I can use this background: What if black played A5 
here instead?

What is an answer for this question: What would black do next?",A5
"White would respond A6 (because black would then be threatening to take the corner 
by playing along the A edge if white were to play B5).

Q: Why would White respond with A6?

A:",because black would then be threatening to take the corner
"BLACK PLAYS A5 
WHITE PLAYS A6

With reference to the above context, What is the name of the game?","BLACK PLAYS A5 
WHITE PLAYS A6"
"Extract the answer to the question from the following context.
Question: What does this mean?
Context: This also doesn’t accomplish much.",doesn’t accomplish much
"I have a game board like this:

Unfortunately for white, black has a much better move here,E1.

And a game state like this:

Black just played E1.

Please answer this question for me:

What will white want to do next?",take back the move
"After E1, white STILL has the same 2 moves that lose the corner.

Q: What happens to white after E1?

A:",lose the corner
"I have a new situation: David and John are two friends that play Othello together often. David has been playing for many years and is considered a master at the game. John is a beginner and is trying to improve at the game.

But I can use this background: Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
29

What is an answer for this question: Which player has more experience playing Othello?",David
"BLACK PLAYS E1

Q: What does Black play?

A:",E1
"I like to call moves like E1 the killer move because after this the game is effectively over and it turns 
into a process of getting the corner in the best way and building from there.

With reference to the above context, What is the killer move?",E1
"Extract the answer to the question from the following context.
Question: What is the author's name?
Context: Similarly, there are often 
sequences of 2 or more moves that win immediately and I call those killer sequences.",I
"In Othello terminology, a quiet move is a move that doesn’t disturb the position very much.

Q: What is a quiet move?

A:",a move that doesn’t disturb the position very much
"On the 
other hand, a loud move is a move that changes the position significantly.

Q: A loud move is a move that changes what?

A:",the position significantly
"I can use this background: In fact, in the above 
example E1 is a Perfectly Quiet Move because it flips exactly 1 disk and it provides no new moves to 
the opponent (therefore it’s as quiet as any legal move in Othello can be – it doesn’t change the board 
very much at all).

Now, I have a new situation: David and Donald are playing Othello. Donald makes a perfect quiet move. David decides to make a loud move by jumping over two of Donald's pieces.

Answer this question please: Who will have more pieces on the board?",David
"To clarify a bit more, your opponent will have the same (or fewer) moves both 
before and after you play a Perfectly Quiet Move.

Q: What will your opponent have after you play a Perfectly Quiet Move?

Referring to the passage above, the correct answer to the given question is",the same (or fewer) moves
"I have a new situation: David is the current world champion of the game Simon says. One day, David decided to teach the game to his friend John. David was showing John the basic rules of the game, when suddenly, their conversation took the following direction.

David: Before black plays E1, white can play to B1 and B2.

John: I know, but what if black plays E1?

David: Then white can play to A1, B3, and C2.

John: But what if black plays E2?

David: Then white can play to A2, B4, and C3.

David and John are trying to figure out the possible moves in the game Simon says. In the above dialogue, who is playing black?",John
"Question: What does white need to do to win?

Context: ""After black plays to E1, white STILL can only play to B1 and B2.""

Answer:",play to B1 and B2
"As a 
general rule, if there is a perfectly quiet move on the board it is almost always the right move to play.

Q: If the move is quiet, what is the right move to play?

Referring to the passage above, the correct answer to the given question is",almost always
"Given the following passage

""What can we learn from the above position?"",

answer the following question. Note that the answer is present within the text.

Question: What is the above?",position
"With good play, you can force your opponent to give you 
corners – even if they’ve discovered how valuable corners are and they are also avoiding playing into 
X-squares and C-squares.

Q: What can you do to force your opponent to give you corners?

Referring to the passage above, the correct answer to the given question is",good play
"Extract the answer to the question from the following context.
Question: What is the point of the corner?
Context: The real question is: how do you get into positions where your opponent 
will have to give you a corner?",to give you a corner
"I know that the answer to the question ""What is the name of the person who wrote the book Othello: From Beginner to Master?"" is in ""Let’s take a look at another example: 
 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
30 
 
BLACK TO PLAY 
 
Black can play the perfectly quiet move to H6 after which white can respond by playing 4 ways: H2, 
H3, G2, G1."". Can you tell me what it is?",Randy Fang
"BLACK PLAYS H6

With reference to the above context, What is the name of the game being played?",H6
"We can be pretty sure that white isn’t going to play G1 as that immediately gives black a corner.

Q: What move will give black a corner?

A:",white isn’t going to play G1
"Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
31 
 
IF WHITE PLAYED G1 
 
H3 might appear good, but after H3 black can play H2 and  white will be forced to play G2 or G1 – 
both of which lose the corner.

With reference to the above context, What is the title of the book?",Othello: From Beginner to Master
"IF WHITE PLAYS H3 
BLACK PLAYS H2 
 
 
G2 isn’t much better than H3.

Q: What is G2?

A:",H3
"I have a new situation: David and John are playing a game of chess. After a long game, it has come down to this. David's king is at H2, and John's king is at H7. John moves his piece to H6. David then moves his piece to H8. John then moves his piece to H7. David moves his piece to H6.

But I can use this background: In fact the only way that white can try to hold on is to play H2, a 
dangerous (but necessary) C-square.

What is an answer for this question: Who's king is in danger?",John
"After black plays C1 in response, white will have to play E1 or 
D1.

Q: After black plays C1, what will white have to do?

Referring to the passage above, the correct answer to the given question is",play E1 or D1
"I have a new situation: Bob and Andy are playing Othello. Andy is a novice, while Bob has read the book ""Othello: From Beginner to Master"" and has been playing for years.

But I can use this background: Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
32 
 
 
IF WHITE PLAYS H2 
BLACK PLAYS E1 
 
White only has these 2 moves that don’t give up the corner – both are on the north edge.

What is an answer for this question: Who has a better chance of winning?",Bob
"No matter 
which of these moves to the north edge that white plays next, black will play the other.

White plays the north edge. Black plays the other edge. Black wins.

Given the context: What will happen if black does not play the other edge?",black will lose
"Given the following context:

If white plays 
D1, black will play E1, and vice versa, we call such moves paired – when the obvious response to a 
move is another move and vice versa.

answer the following question:

What is the first move white will make?",D1
"After the move pair is played out, white will be forced to give 
up the H1 corner on his next turn.

Q: What will white have to give up on his next turn?

Referring to the passage above, the correct answer to the given question is",the H1 corner
"Given the following context:

IF WHITE PLAYS D1 
BLACK PLAYS E1 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
33 
 
 
IF WHITE PLAYS

answer the following question:

What is the name of the person whose book is called More Othello Concepts?",Randy Fang
"I have a test where I am given the following article, what is an answer for the question: What is the name of the person that Black plays against? ?

E1 
BLACK PLAYS D1",D1
"So if it’s black’s turn, white will lose.

With reference to the above context, What will happen if it is black's turn?",white will lose
"What about if it’s white’s turn?

With reference to the above context, What about if it's white's turn?",What about if it’s white’s turn?
"Question: What is the point of playing H3?

Context: White could play H3 ,making a 
black move to H6 pointless (White just plays H7 after H6), however then black will just play E1 
instead, forcing white to play D1 and then black will play C1 forcing white to lose a corner.

Answer:","making a 
black move to H6 pointless"
"Obviously, whatever it is about the previous starting positions that is bad, it carries over no matter 
whose turn it is.

Q: What is the bad thing that carries over no matter whose turn it is?

Referring to the passage above, the correct answer to the given question is",whatever it is about the previous starting positions
"I read this background article the other day: In order to figure out how to force our opponents to give us corners, we need to 
figure out what features the two diagrammed positions have in common.

I am facing a new situation today: Two teams were playing soccer. Red team scored two goals and the game was tied. Blue team was awarded a corner kick. Blue team scored the winning goal.

Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: Which team scored more goals?",Blue
"White’s real problem in both 
positions is that he doesn’t really have a lot of options to begin with and the options that he has aren’t 
very good.

With reference to the above context, What is White's problem?","he doesn’t really have a lot of options to begin with and the options that he has aren’t 
very good"
"When you have lots of moves to choose from you are said to “have lots of mobility”.

A dancer with many options of where to move their feet is said to have what?",lots of mobility
"Given the background: When you don’t have many moves to choose from you are “low on mobility”.

and the situation: A game of chess requires a lot of mobility. If a chess piece has limited mobility, it is said to be low on what?

Answer the following question: A chess piece that is low on mobility will be able to do what?",few moves to choose from
"I read this background article the other day: Having good mobility  
(having good moves) is a very important part of the game.

I am facing a new situation today: Tom and Jerry are two players in a multiplayer video game. The game requires each player to have good mobility in order to win. Tom has good mobility, but Jerry has poor mobility.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Who will be more likely to win the game?",Tom
"I have a new situation: Mary had a hard day at work. Her job requires a lot of mobility. When she got home she was tired but felt good because she had used a lot of energy. Her neighbor Jane has a desk job and hasn't moved all day. She is tired but feels bad because she hasn't used any energy.

But I can use this background: If you have a lot of mobility – at least a few 
of those moves are bound to be good.

What is an answer for this question: Who is more likely to have good moves?",Mary
"And the opposite is true, if you don’t have very many moves – 
you might not have any good moves at all.

Q: If you don't have many moves, you might not have any good moves at all. This is the opposite of what?

Referring to the passage above, the correct answer to the given question is",true
"Many games between an expert and a beginner are decided in terms of mobility alone.

Q: What factor is often the deciding factor in games between experts and beginners?

A:",mobility
"I have a new situation: Two men are playing a game of chess. The expert quickly runs the beginner out of good moves, and then forces the beginner to give up a corner.

But I can use this background: The expert 
quickly runs the beginner out of good moves, and then forces the beginner to give up a corner (by 
leaving the beginner one or two moves that both lose a corner) and from there it’s all a matter of 
technique.

What is an answer for this question: Who is the expert playing against?",the beginner
"I read this background article the other day: Why doesn’t white have much mobility in the above diagrams?

I am facing a new situation today: A game of chess is being played between two friends. The black pieces are owned by Frank, and the white pieces are owned by Mike. Neither Frank nor Mike are particularly strong chess players, but they are having fun playing against each other.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Whose pieces have less mobility?",Mike
"Because black doesn’t have a lot of 
disks.

Q: What color doesn't have a lot of disks?

A:",black
", Obviously if black only has 3 or 4 disks, white will probably have only 2 or 3 moves.

Q: What is the maximum number of moves that white can have?

Referring to the passage above, the correct answer to the given question is",2 or 3
"I read this background article the other day: If those 2 
or 3 moves are all moves that give away a corner, then black is probably going to win.

I am facing a new situation today: There are two players, white and black. They take turns moving their pieces. The goal is to capture the center piece. Black just made two moves that give away a corner.

Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: Will black win or lose?",win
"The point I’m 
trying to make here is that by having fewer disks, you can get into positions where your opponent is 
forced to give you a corner.

Q: What is the point of the article?

A:","to get into positions where your opponent is 
forced to give you a corner"
"Extract the answer to the question from the following context.
Question: What is the opposite of more?
Context: Having fewer disks is actually better most of the time!",fewer
"Unfortunately, this can be a very difficult lesson to learn.

Q: What is the lesson that is difficult to learn?

Referring to the passage above, the correct answer to the given question is",this
"I have a new situation: Two teams of 5 players each are playing a game of disk shuffleboard. The goal of the game is to get the most disks into the scoring zone.

But I can use this background: The “goal” of the game is to get the most 
disks, right?

What is an answer for this question: Will the team with the most disks in the scoring zone win or lose?",win
"Extract the answer to the question from the following context.
Question: What is the answer to the question?
Context: Wrong.",Wrong
"The goal of the game is to have the most disks at the end of the game.

Dan and Joe played a game of discs. They each started with 7 disks. The goal was to get the most disks at the end of the game. Joe won and took home 6 of the disks.

Who had more disks at the end of the game?",Joe
"You are given a new situation: David and Goliath are playing a game of tic-tac-toe. David is the red player, and Goliath is the black player. They are playing a best of seven match. The first player to win three games in a row wins the match.

and a hint : We’ve 
already seen how having corners leads to stable disks and we know that stable disks lead to more 
disks at the end of the game.

Please answer this question : Who will have more disks at the end of the game?",David
"Given the following context:

In between the start and the end of the game, our goal is to put 
ourselves into a position where we’re likely to have the most disks at the end of the game.

answer the following question:

What is the goal of the game?",to have the most disks at the end of the game
"I know that the answer to the question ""What is the narrator willing to do to win?"" is in ""If this 
means having fewer disks in the opening and midgame, then so be it."". Can you tell me what it is?",fewer disks
"Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
34 
Exercises: Now that we’ve seen a little bit about how we can force our opponents to give us a corner 
– these exercises will help us find the killer moves that are necessary to get the job done.

Q: What does the book cover?

Referring to the passage above, the correct answer to the given question is",Othello
"Find a 
move or short sequence that forces your opponent to give you a corner.

Q: What is the goal of this move?

Referring to the passage above, the correct answer to the given question is",give you a corner
"Extract the answer to the question from the following context.
Question: What is the main topic of the passage?
Context: Note that in most of these 
positions there are multiple answers.",positions
"Given the following context:

I’ve picked the shortest killer sequence as the answers.

answer the following question:

What will the others want to do next?",pick the shortest killer sequence
"I have a new situation: Bob is trying to find a forced sequence in a math problem. He found one and recorded it as case A. Then he found another one and recorded it as case B.

But I can use this background: If you 
found another forced sequence, good job!

What is an answer for this question: Which case is more likely to be a forced sequence, case A or case B?",case B
"1. 
2.

Q: How many years was the contract?

A:",2
"Black To Play 
Black To Play 
3. 
4.

Q: What does the title of the book mean?

Referring to the passage above, the correct answer to the given question is",Black To Play
"Black To Play 
Black To Play 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
35 
Answers: 
 
1. 
2. 
 
 
3. 
4.

Q: Who wrote Othello: From Beginner to Master?

Referring to the passage above, the correct answer to the given question is",Randy Fang
"Given the following context:

Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
36 
 
Exercises: Find the Perfectly Quiet Move in each of the following positions: 
 
1. 
2.

answer the following question:

What is the name of the person who wrote the book, Othello: From Beginner to Master?",Randy Fang
"Given the following context:

BLACK TO PLAY 
BLACK TO PLAY 
3. 
4. 
 
 
BLACK OR WHITE TO PLAY 
WHITE TO PLAY 
 
 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
37 
 
Answers:  
 
1.

answer the following question:

What is the name of the book that has the copyright year of 2003?",Othello: From Beginner to Master
"Given the following context:

F4 
2.

answer the following question:

What is the first name of the person who is a co-lead actor?",F4
"Extract the answer to the question from the following context.
Question: What is the third step?
Context: H5 
3.",H5
"Extract the answer to the question from the following context.
Question: What is the second to last move?
Context: C6 is a Perfectly Quiet Move for BOTH players 
4.",C6
"Refer to the passage below and answer the following question:

Passage: H4 
 
 
Don’t leave yourself high and dry 
 
Let’s say that your opponent is trying to maximize their disks.

Question: What does the disk do?",maximize their disks
"At some point in the game, you’re likely 
to get wiped out if you completely commit yourself to minimizing your disks.

Q: What is one way you can get wiped out in the game?

A:",complete yourself to minimizing your disks
"Background: The term for this situation 
is overevaporation.

Paragraph: The weather has been very hot and dry lately which has resulted in a lot of overevaporation of the lakes in the area.

Given the paragraph above, please answer correctly the following question: Will the lakes be higher or lower if there is less overevaporation?",higher
"Unfortunately, you can’t always focus on just minimizing your disks,you 
sometimes have to pay attention to make sure that you’re not going to wipe out.

Q: What do you need to pay attention to when minimizing your disks?

A:",not going to wipe out
"Remember having 
fewer disks is a means to forcing your opponent to give you corners, it is not an end in and of itself.

Q: What is a means to forcing your opponent to give you corners?

Referring to the passage above, the correct answer to the given question is",Remember having fewer disks
"I have a new situation: David and Goliath are playing a game of Reversi. David is a beginner, but he's having fun. Goliath is very good at Reversi, and is hoping to win the game.

But I can use this background: In order to avoid being wiped out by someone who is playing greedily, you’ll want to try to play moves 
that do 1 of 3 things (in this order of importance): 
 
 
Establish a stronghold on an edge that your opponent can’t flip 
 
Play a move that flips disks in more than one direction at once 
 
Play a move that makes a line that is not immediately reflippable.

What is an answer for this question: Who is less likely to establish a stronghold on an edge that their opponent can't flip?",David
"Let’s take a look at examples of each of these in turn.

John is a baker who owns his own business. He makes cakes for all occasions. Today, he has a big order for a wedding cake. He has to bake the cake, and then decorate it.

Given the paragraph above, please answer correctly the following question:

Will John bake the cake or decorate it?",bake
