input,output
"specifically for discussion about the book at http://groups.yahoo.com/group/randysothellobook.

Q: What is the URL for the book's discussion group?

A:",http://groups.yahoo.com/group/randysothellobook
"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""Happy Flipping,""",5
"Given the following context:

October 26, 2003

answer the following question:

What is the first name of the person whose mother died?",Tommy
"Othello: From Beginner to Master – Forward

With reference to the above context, How many chapters are in this book?",Forward
"INTRODUCTION

Q: What is the name of the organization that publishes the MLS?

A:",National Association of REALTORS
"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""Forward""",5
"Extract the answer to the question from the following context.
Question: What is the book about?
Context: You’re probably reading this book because you want to learn how to play Othello™* well. Maybe",Othello
"I am trying to decide whether it's worth it to invest in this stock. Can you help me answer a few questions? If you can't, please say ""No I can't"".

Question: How is the narrator trying to help?
Movie title: Rocky
Movie plot: you’ve just learned the game or maybe you don’t know it at all. My goal is to speed up the process to",Speeding up the process
"Question: ""What is the purpose of the game?""

Context: ""mastery by stepping you through many of the lessons that every master level player has learned""

Answer:",every master level player has learned
"through hard work and a lot of practice. I’ll start off at the most basic level and progress from basic

Q: What is the narrator going to do in the video?

Referring to the passage above, the correct answer to the given question is",start off at the most basic level and progress from basic
"principles to some of the more flexible principles and exceptions that Master level players apply in

Q: What principles do master level players apply?

A:",flexible principles and exceptions
"championship level play.

Q: What kind of play does the team put out?

Referring to the passage above, the correct answer to the given question is",championship level
"In essence, what I’m trying to do is write the Othello equivalent of Nimzovich’s My System (a chess

With reference to the above context, What is the book that the writer is trying to emulate?",My System
"Question: ""What is the main subject of the passage?""

Context: ""book). At the current time, there is no book in the Othello world to form the basis for discussion and""

Answer:",Othello
"I know that the answer to the question ""What is the level of the people who discuss games?"" is in ""analysis of games. Most master level discussions in the US occur over a real board at infrequent"". Can you tell me what it is?",master
"tournaments and I’ve tried to present as much of the terminology as possible. By no means is all the

Q: What is the narrator trying to present?

Referring to the passage above, the correct answer to the given question is",terminology
"Extract the answer to the question from the following context.
Question: What is the author's primary concern?
Context: information complete and it’s only as accurate as myself and the people I’ve consulted while writing",information complete and it’s only as accurate as myself
"Extract the answer to the question from the following context.
Question: What is the purpose of the book?
Context: the material. Just like My System has done in chess – this book is meant to provide a basis for",to provide a basis for
"analytical discussion as well as revisions and exceptions to the theories presented.

Q: What kind of discussion was included?

Referring to the passage above, the correct answer to the given question is",analytical
"I’d also like to take this opportunity to thank everyone who is involved in the Othello community for

Q: What is the narrator thanking everyone for?

Referring to the passage above, the correct answer to the given question is",involved in the Othello community
"Given the following context:

their support. I’d particularly like to thank Gunnar Anderson for making WZebra and its toolset for

answer the following question:

What does the narrator want to thank Gunnar for?",making WZebra
"making the images in this document freely available.

With reference to the above context, What is the main purpose of this document?",making the images in this document freely available
"Given the following passage

""Finally, many deserved thanks go out to my two editors and good friends: Amanda Jones (writing"",

answer the following question. If it's unanswerable, please output ""No answer"".

Question: What is the first name of the person who wrote this?",Amanda
"style and beginner level feedback) and Edmund Yiu (technical and master level feedback).

Q: Who provides technical and master level feedback?

A:",Edmund Yiu
"

Q: How much was the fine for the first offense?

Referring to the passage above, the correct answer to the given question is",$250
"Given the following context:

* OTHELLO IS A REGISTERED TRADEMARK OF ANJAR CO.

answer the following question:

What is the name of the company that owns the trademark for Othello?",ANJAR CO.
"

Q: What is the name of the city where the 2015 World Series took place?

A:",Kansas City
"Question: ""What is the main topic of the book?""

Context: ""Othello: From Beginner to Master – Tools of the Trade""

Answer:",Othello
"Extract the answer to the question from the following context.
Question: What is the name of the book?
Context: Tools of the Trade",Tools of the Trade
"Two Options – High Tech and Low Tech

Q: What is the name of the Low Tech option?

Referring to the passage above, the correct answer to the given question is",High Tech
"Before we start, I’d like to take a moment to talk about what equipment you might want to get your

Q: What do you need to get before you start?

A:",equipment
"Extract the answer to the question from the following context.
Question: What do you need to play the game?
Context: hands on before reading this book. As a minimum requirement, you’ll need to have an Othello board",Othello board
"Question: ""What should you do to get better?""

Context: ""of some kind on hand to play a few sample games with yourself or preferably with an opponent to get""

Answer:",play a few sample games
"I have a test where I am given the following article, what is the answer for the question: What does the narrator need to learn? ?

a feel for the rules and principles that I will introduce.",rules and principles
"Extract the answer to the question from the following context.
Question: What is the narrator recommending?
Context: If you’re more technologically inclined , I recommend you download WZebra from the Internet",WZebra
"(http://www.nada.kth.se/~gunnar/othello.html). You can use it to set up the positions presented in the

Q: What is the name of the website that can be used to set up the positions presented in the Othello game?

Referring to the passage above, the correct answer to the given question is",othello.html
"Extract the answer to the question from the following context.
Question: What is the second thing mentioned that you can do?
Context: book or to play a few quick games to get acquainted with how to play. For beginning through",play a few quick games
"Given the following context:

advanced players, the lowest skill setting on WZebra will provide a HIGHLY challenging opponent ,

answer the following question:

What will happen if you play WZebra at the lowest skill level?",provide a HIGHLY challenging opponent
"Extract the answer to the question from the following context.
Question: What does the author think of WZebra?
Context: don’t be discouraged, WZebra is a very strong player. You might consider downloading one of the",strong
"I have a new situation: Bob and Sam are two novice chess players. Sam has been playing chess for a few months, while Bob just started a week ago. They decided to play against each other to see who is better.

But I can use this background: “weaker” Othello playing programs to play with so you don’t get discouraged. A much better idea is to

What is an answer for this question: Who is less likely to get discouraged?",Sam
"seek out competition on the Internet. There are several places that you can play online, here’s a short

Q: What can you do online?

A:",play
"list of some of the sites that are available and the advantages and disadvantages of each:

Q: What are some of the sites available?

A:",list of some of the sites that are available
"Gaming Site

Q: What is the name of the site that is used for gaming?

A:",Gaming Site
"I have a new situation: John is a successful investor. He has a portfolio of stocks and bonds. John prefers stocks over bonds. Last year John made 24% return on investment on his stock portfolio.

But I can use this background: John is a successful investor. He has a portfolio of stocks and bonds. John prefers stocks over bonds. Last year John made 24% return on investment on his stock portfolio. The stock market has been on a roller coaster ride for the past few months.

What is an answer for this question: Will John's stock portfolio likely increase or decrease in value if the stock market continues its current trend?",decrease
"Disadvantages

Q: What is the main disadvantage of the 401k plan?

A:",the 401k plan is not a guarantee of retirement income
"Given the following passage

""MSN Gaming Zone"",

answer the following question. Note that the answer is present within the text.

Question: What is the name of the website that is mentioned in the text?",MSN Gaming Zone
"Extract the answer to the question from the following context.
Question: What is the name of the site where the game can be played?
Context: (http://zone.msn.com/reversi)",zone.msn.com
"Extract the answer to the question from the following context.
Question: What is the reason for the interface?
Context: Slightly “friendlier” interface than",friendlier
"I am a movie director and I just received the following movie plot. Could you help me answer this question? If not, let me know by writing ""Not answerable"".

Plot title: The Rest Is Silence
Movie plot: the rest.
My question: Who does the narrator address?",Not answerable
"I have a test where I am given the following article, what is the answer to the question: What is the last name of the person who has a wife named Susan? ?

",Brown
"Given this review: ""Can’t resume a game after a""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Not at all
"disconnection

Q: What is the name of the book that is the inspiration for the film?

A:",disconnection
"Given this review: ""Non-standard color scheme""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""Cheaters""",5
"No Timed Games

With reference to the above context, What is the name of the game?",No Timed Games
"Extract the answer to the question from the following context.
Question: What kind of games are available on Yahoo?
Context: Yahoo Games",Games
"(http://games.yahoo.com)

Q: What is the name of the game that is listed?

Referring to the passage above, the correct answer to the given question is",games.yahoo.com
"Given this review: ""Ability to resume games after a""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Given the following context:

disconnection

answer the following question:

What is the name of the person that is not connected?",disconnection
"I have a test where I am given the following article, what is the answer to the question: What is the name of the game that is played in a timed fashion? ?

Timed Games",Rock-Paper-Scissors
"Review: Starting position is backwards
On a scale of 1 to 5, how would you rate this review?",1
"I am trying to decide whether it's worth it to invest in this film proposal. Can you help me answer a few questions? If you can't, please say ""No I can't"".

Question: What does the man do to the girl?
Movie title: Cheaters
Movie plot: Cheaters",No I can't
"Kurnik.pl

With reference to the above context, What is the name of the website that is mentioned in the passage?",Kurnik.pl
"Refer to the passage below and answer the following question:

Passage: (http://kurnik.pl/en)

Question: What is the name of the book that was written by a Polish man?",(http://kurnik.pl/en)
"I am trying to decide whether it's worth it to invest in this stock. Can you help me answer a few questions? If you can't, please say ""No I can't"".

Question: What is the ability to resume games after a?
Movie title: Resume
Movie plot: Ability to resume games after a",No I can't
"Extract the answer to the question from the following context.
Question: How does this affect the brain?
Context: disconnection",disconnection
"Timed Games

Q: How many timed games are played in a match?

Referring to the passage above, the correct answer to the given question is",two
"Extract the answer to the question from the following context.
Question: What is the most important part of the game?
Context: Database of previous games",Database
"Mostly Polish players – Not

Q: What is the most common nationality of the players?

A:",Polish
"Given this review: ""many English speaking players""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Playsite

With reference to the above context, What is the name of the site that the playsite is on?",Playsite
"I am a movie director and I just received the following movie plot. Could you help me answer this question? If not, let me know by writing ""Not answerable"".

Plot title: The Last Starfighter
Movie plot: (http://www.playsite.com)
My question: Who is the last starfighter?",Alex Rogan
"Given this review: ""Ability to resume games after a""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Extract the answer to the question from the following context.
Question: What is the name of the person who is disconnected?
Context: disconnection",disconnection
"Timed Games

Q: What is the time limit for a game of dodgeball?

A:",10 minutes
"Given this review: ""Lack of players""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",No
"Vinco Online Games (VOG)

Q: What does VOG stand for?

A:",Vinco Online Games
"I am trying to decide whether it's worth it to invest in two different stocks, Vog and Zan. I have been given the following information about the two stocks:

Vog:

Price: $150

Volatility: 20%

Zan:

Price: $200

Volatility: 25%

Which stock should I buy if I want to have a lower chance of losing money?",Vog
"Given this review: ""High quality human competition""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""Ability to resume games after a""",5
"disconnection

With reference to the above context, What is the name of the first album by the band?",disconnection
"I have a test where I am given the following article, what is the answer to the question: What is the first name of the person who won a gold medal? ?

Timed Games",Cathy
"Given this review: ""Database of previous games""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Given this review: ""Partially effective anti-cheat""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Maybe
"features

Q: What are the features of the game?

Referring to the passage above, the correct answer to the given question is",features
"NOT FREE

With reference to the above context, What is the cost of the app?",NOT FREE
"Many people have attitude

Q: What does many people have?

Referring to the passage above, the correct answer to the given question is",attitude
"Given this review: ""problems""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Not at all
"Othello: From Beginner to Master – Othello Notation

Q: What is the name of the book?

A:",Othello: From Beginner to Master
"Othello Notation

With reference to the above context, What is Othello Notation?",a method of writing musical notation
"Standard Starting Position

Q: What is the standard starting position for the discus?

A:",left foot forward
"Given the following context:

On the left you’ll find the standard Othello starting

answer the following question:

What is the name of the game that is started?",Othello
"position. Each side starts with two disks in the

Q: How many disks does each side start with?

Referring to the passage above, the correct answer to the given question is",two
"I have a new situation: Tim is playing a game of pool with his friends. He takes aim and shoots the cue ball into the rack of balls. The cue ball hits the rack and several balls scatter across the pool table.

But I can use this background: center of the board.

What is an answer for this question: Which ball did Tim hit?",cue ball
"Standard Othello notation is based on a grid. The

Q: What is Othello notation based on?

Referring to the passage above, the correct answer to the given question is",a grid
"letters run from left to right and represent the

With reference to the above context, What direction do letters run in?",left to right
"I know that the answer to the question ""What is the last word in the passage?"" is in ""columns. The numbers run from top to bottom"". Can you tell me what it is?",bottom
"Extract the answer to the question from the following context.
Question: What is the third row?
Context: and represent the rows. This means that the topleft corner is A1, the bottom-left corner is A8, the",A3
"Given the following context:

top-right corner is H1, and the bottom-right corner

answer the following question:

What is the name of the corner that is not the top-right corner?",bottom-right corner
"is H8. In the standard starting position, black

Q: What is the standard starting position?

Referring to the passage above, the correct answer to the given question is",is H8
"has disks at E4 and D5. White has disks at D4

With reference to the above context, What does White have at D4?",disks
"Extract the answer to the question from the following context.
Question: What is the last word in the passage?
Context: and E5.",E5
"All the diagrams in this book will have the

Q: What will all the diagrams in the book have?

A:",the
"Extract the answer to the question from the following context.
Question: What is the purpose of the labels?
Context: columns and rows labeled appropriately on the",appropriately
"I am a student and I am trying to decide whether to buy this book or not. Can you help me answer this question? If not, please say ""No I can't"".

Title: top and left edges so, while memorization of this
Review: top and left edges so, while memorization of this
Question: What is the narrator describing?",No I can't
"Given this review: ""grid will be helpful, it should not be necessary.""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"

Q: What is the name of the 4th generation of the iPod?

A:",iPod nano
"I have a test where I am given the following article, what is an answer for the question: What is the name of the game that has a master? ?

Othello: From Beginner to Master – Rules of Othello",Othello
"I know that the answer to the question ""What is the game Othello?"" is in ""Rules of Othello"". Can you tell me what it is?",Rules
"Objective

Q: What is the objective of the study?

A:",to determine the prevalence of anemia in children
"Question: What is the goal of the game?

Context: ""To have the most discs at the end of the game.""

Answer:",To have the most discs at the end of the game
"Given the following passage

""General Rules"",

answer the following question. Note that the answer is present within the text.

Question: what is the second to last word in the passage?",General
"Question: ""What is the opposite of white?""

Context: ""Each player starts with 32 disks at hand. One side of each disk is black, the other side is""

Answer:",black
"Given the following context:

white.

answer the following question:

What color is the background of the page?",white
"I have a new situation: Two friends are playing a game of backgammon. They are both very competitive and want to win. As they are playing, Jim realizes that he is losing and becoming frustrated. His frustration causes him to make some careless moves, and he ends up losing the game.

But I can use this background: One player plays their disks white side up and the other player plays their disks black side up.

What is an answer for this question: Who plays their disks black side up?",Jim
"The player playing their disks white side up is called white, the player playing their disks black

Q: What is the name of the player that plays their disks white side up?

Referring to the passage above, the correct answer to the given question is",white
"side up is called black

Q: What is the side up called?

Referring to the passage above, the correct answer to the given question is",black
"Black always plays first.

With reference to the above context, Who plays first?",Black
"Both players take turns playing valid moves into empty squares. (Black plays, then White

With reference to the above context, Who plays first?",Black
"I know that the answer to the question ""What is the next step?"" is in ""plays, then Black plays, then White plays, etc). After playing a valid move, the appropriate"". Can you tell me what it is?","After playing a valid move, the appropriate"
"Given the following context:

disks are “flipped” to the current player’s color. (See the following example for more details on

answer the following question:

What is flipped to the current player's color?",disks
"Given the following context:

valid moves and flipping disks).

answer the following question:

What is the first thing that needs to be done in order to play the game?",valid moves
"Extract the answer to the question from the following context.
Question: What happens when a player does not have a valid move?
Context: If a player has no valid moves– they must pass their turn. The other player then plays a",must pass their turn
"second turn in a row. If the second player still has no legal moves, they must pass again.

With reference to the above context, What must the second player do if they have no legal moves?",pass again
"I know that the answer to the question ""What is the minimum amount of times a player can move?"" is in ""This means that a player can potentially move 2, 3, or even 15 times in a row. When a player"". Can you tell me what it is?",2
"Question: What do the passes give to their opponent?

Context: passes, they give one of their disks to their opponent.

Answer:",one of their disks
"The game ends when both players have no legal moves – in most cases this is when the

Q: What is the usual outcome of a game of chess?

Referring to the passage above, the correct answer to the given question is",both players have no legal moves
"board has no empty squares left. In rare cases – the game will end because neither player

Q: What is the game called when there are no more empty squares left?

Referring to the passage above, the correct answer to the given question is",the game will end
"has a legal move in the position.

Q: What does a legal move in the position do?

Referring to the passage above, the correct answer to the given question is",has a legal move in the position
"Valid Moves:

With reference to the above context, What is the name of the move that can be used to hit an opponent's king?",check
"Moves must be played to an empty square adjacent to a disk of the opposing color

With reference to the above context, What must be played to an empty square adjacent to a disk of the opposing color?",Moves
"You must play a move that “outflanks” disks of the opposing color. Disks that are

Q: What is a move that outflanks?

Referring to the passage above, the correct answer to the given question is",a move that “outflanks” disks of the opposing color
"“outflanked” are flipped to the color of the disk that was played.

Q: What does outflanked mean?

A:",flipped to the color of the disk that was played
"

With reference to the above context, What is the name of the ship that has a replica of the Taj Mahal on it?",Taj Mahal
"Question: ""Who wrote the rules for Othello?""

Context: ""Othello: From Beginner to Master – Rules of Othello""

Answer:",Othello
"Given the following context:

A S imp le Examp le:

answer the following question:

What is the name of the person who is a S imp le Examp le?",S
"Refer to the passage below and answer the following question:

Passage: STANDARD START POSITION

Question: What is the standard start position?",STANDARD START POSITION
"AFTER BLACK PLAYS E6

Q: What is the name of the movie?

Referring to the passage above, the correct answer to the given question is",AFTER BLACK
"Given the following context:

From the standard starting position, black plays a move to the E6 square. The E4 and E6 disks now

answer the following question:

What are the names of the squares that are now occupied?",E6
"outflank the disk on the E5 square and the white E5 disk is flipped to black.

Given the question ""What is the result of the flip?"", what is the answer ""the disk is flipped""?",the disk is flipped
"

Q: What is the name of the organization that produces the official rules of football?

A:",National Football League
"BEFORE WHITE PLAYS F4

With reference to the above context, What is the move that White plays?",F4
"I am trying to decide whether it's worth it to invest in this company based on the following article. Can you help?

AFTER WHITE PLAYS F4

With reference to the above context, What does the F4 move do?",AFTER WHITE PLAYS F4
"As the second move of the game, the white player plays to the F4 square. The disk on E4 is

Q: Which player plays the second move?

A:",white
"outflanked by the D4 and F4 disks and it is flipped to white.

With reference to the above context, What color is the disk flipped to?",white
"Extract the answer to the question from the following context.
Question: What is the name of the game that the main character plays?
Context: ",Tetris
"Othello: From Beginner to Master – Rules of Othello

Q: What is the name of the book that teaches you how to play Othello?

A:",Othello: From Beginner to Master
"BEFORE BLACK PLAYS C3

Q: What is the first move that Black plays?

A:",C3
"I have a test where I am given the following article, what is the answer to the question: What is the name of the person who plays C3? ?

AFTER BLACK PLAYS C3",AFTER BLACK
"Note that disks can also be outflanked diagonally. For instance, for the third move of this game, the

Q: What can be outflanked diagonally?

Referring to the passage above, the correct answer to the given question is",disks
"black player plays C3 and the disk on D4 is outflanked by the disks on C3 and E5 and it is flipped.

Given the question ""What does the black player do?"", what is the answer ""flips the disk on D4""?",flips the disk on D4
"

Q: What is the name of the person who was the first to have a full-length portrait painted by Rembrandt?

Referring to the passage above, the correct answer to the given question is",Saskia van Uylenburg
"Given the following passage

""A Few More Co mpl icate d Exa mples :"",

answer the following question. Note that the answer is present within the text.

Question: What is the first word in the passage?",A
"I have a test where I am given the following article, what is an answer for the question: What is the name of the person whose name is White? ?

BEFORE WHITE PLAYS C5",White
"Extract the answer to the question from the following context.
Question: What does the first word of the title refer to?
Context: AFTER WHITE PLAYS C5",AFTER
"Given the following context:

In this position, white plays to C5 outflanking the disks on C3 and C4 and they are flipped. Note that

answer the following question:

What is the location of the disks that are flipped?",C3 and C4
"Question: ""What is the name of the 4th letter in the Greek alphabet?""

Context: ""there aren’t any “chain reactions” , for instance, even though the disks on D4 and E4 are now""

Answer:",D
"I have a game board like this:

“outflanked” by the disks on C4 (which just flipped) and F4 – they are NOT flipped.

And I have these instructions:

Players take turns flipping over the tiles.

Given the instructions and the board, what will happen to the tiles on C4?",flipped
"

With reference to the above context, What is the name of the company?",Rent-A-Center
"I have a test where I am given the following article, what is an answer for the question: What is the name of the book that has rules? ?

Othello: From Beginner to Master – Rules of Othello",Othello
"Given the following context:

BEFORE BLACK PLAYS D2

answer the following question:

What is the name of the person who has a D2?",BLACK
"Given the following context:

AFTER BLACK PLAYS D2

answer the following question:

What is the name of the person who plays D2?",AFTER BLACK
"Given the following context:

Disks can also be flipped in more than one direction. For instance, in the above diagram, white plays

answer the following question:

What can be flipped in more than one direction?",Disks
"I know that the answer to the question ""What is the name of the disk that is outflanked by the disk on E3?"" is in ""D2 and the disks D3, D4 and D5 are outflanked by D2 and D6 and the disk on E3 is outflanked by the"". Can you tell me what it is?",D5
"I have a test where I am given the following article, what is the answer to the question: What disk is F4 on? ?

disks on D2 and F4.",D2
"

Q: What is the name of the 2014 film that featured the song?

Referring to the passage above, the correct answer to the given question is",Frozen
"Othello: From Beginner to Master – Othello Transcripts

Q: What is the name of the Othello transcripts?

Referring to the passage above, the correct answer to the given question is",Othello: From Beginner to Master
"Othello Transcripts

Q: What is the name of the person who is described as a Moor?

A:",Othello
"Question: ""What is the first word in the paragraph?""

Context: ""For full games, Othello transcripts are written in a “60 move” format. Each played move is labeled""

Answer:",For
"with the move number that it was played on. The middle 4 squares (the start position) are left

Q: What is the middle 4 squares?

A:",the start position
"unmarked as they were there when the game started. Here’s an example of a transcript and the

Q: What was the transcript of?

Referring to the passage above, the correct answer to the given question is",the game
"Given the following context:

corresponding position after 10 moves.

answer the following question:

What will happen to Others after 10 moves?",corresponding position
"

With reference to the above context, What is the name of the President's daughter?",Chelsea Clinton
"Given the following context:

Exercise: Play through the transcript below and verify that you end up in the expected position.

answer the following question:

What is the name of the person who is in the position to end up in the expected position?",you
"

Q: How did the people of the tribe feel about the newcomers?

Referring to the passage above, the correct answer to the given question is",wary
"I have a test where I am given the following article, what is the answer for the question: What is the full name of the person who is being interviewed? ?

T RANSCRIPT",Joe Biden
"I have a test where I am given the following article, what is the answer to the question: What is the final position of the car that the driver was in? ?

FINAL POSITION",1st
"I have a test where I am given the following article, what is the answer for the question: What does the author want to demonstrate? ?

In this book, I will often start with a diagrammed example position. If I want to demonstrate some",some
"I have a new situation: Bob and Andy are two friends. They have been studying for a big history exam. To test their preparation, Bob took a history exam. He got 80% marks. Andy didn't take the history exam.

But I can use this background: concept from that position, I will create a transcript in a similar format. The disks that represent the

What is an answer for this question: Who would learn less from Bob's transcript, Andy or Bob?",Andy
"I have a test where I am given the following article, what is the answer to the question: What is the first move? ?

original diagram are unmarked, and the moves that are played are labeled (starting at one). An",one
"Extract the answer to the question from the following context.
Question: What is the word ""this"" referring to?
Context: example of this appears on the following page.",example of this
"

Q: Who is the narrator in the video?

Referring to the passage above, the correct answer to the given question is",Ellen
"Question: ""What does the title of the book indicate?""

Context: ""Othello: From Beginner to Master – Othello Transcripts""

Answer:",Transcripts
"I have a test where I am given the following article, what is the answer for the question: What is the full name of the person who is being described in the example? ?

EXAMPLE POSITION",Joseph Smith
"EXAMPLE T RANSCRIPT

With reference to the above context, What is the name of the show that is being recorded?",EXAMPLE T RANSCRIPT
"Given the following passage

""The picture to the left displays the resulting board"",

answer the following question. Note that the answer is present within the text.

Question: What is the result?",board
"after the indicated moves have been played

With reference to the above context, What is the next step in the game?",have been played
"Given the following context:

Final Position

answer the following question:

What is the name of the person who has a final position?",Roger
"Near the beginning of the book, I will rely heavily on move to move pictures to help you visualize the

Q: What does the author rely on to help you visualize the book?

Referring to the passage above, the correct answer to the given question is",move to move pictures
"Given the following context:

positions and what is happening without needing a board. As we move on to more advanced topics

answer the following question:

What is the narrator doing?",explaining
"(and you become accustomed to visualizing the resulting positions), I will start using the above

Q: What is the narrator going to start using?

Referring to the passage above, the correct answer to the given question is",the above
"Given the following context:

transcript format to describe games and concepts.

answer the following question:

What is the format used to describe games?",transcript
"

Q: What is the name of the album that was released by the band in 2002?

Referring to the passage above, the correct answer to the given question is",Kill Your Friends
"Othello: From Beginner to Master – Othello Transcripts

Q: What is the name of the Othello book?

A:",Othello: From Beginner to Master – Othello Transcripts
"Exercises: The following two games were played at previous World Othello Championships. Follow

Q: What were the games?

Referring to the passage above, the correct answer to the given question is",The following two games were played at previous World Othello Championships. Follow
"Refer to the passage below and answer the following question:

Passage: through them on a real board and verify that you end up in the expected ending position. If you didn’t

Question: What do you do on a real board?",through them
"On a scale of 1-5 (with 1 being least favorable and 5 being most favorable), how would you rate this review? ""you should try again because you must have misflipped.""",5
"

With reference to the above context, Who is the narrator?",a young man
"I have a test where I am given the following article, what is an answer for the question: What is the last name of the person who won the 2002 World Othello Championship? ?

SEELEY VS. SHAMAN – 2002 WORLD OTHELLO CHAMPIONSHIP – FINALS – GAME 1",Shaman
"CASPARD VS. MURAKAMI – 1998 WORLD OTHELLO CHAMPIONSHIPS – FINALS – G AME 3

With reference to the above context, What is the name of the game being played?",OTHELLO
"Exercises: Find the valid moves in the following positions. The following positions are taken from a

Q: What are the following positions taken from?

A:",a game
"game between former US Champion Raphael Schreiber and former US and World Champion Brian

Q: What is Raphael Schreiber's former title?

A:",US Champion
"Given the following passage

""Rose at the 2000 US National Championships."",

answer the following question. Note that the answer is present within the text.

Question: What did Rose do?",Rose
"Othello: From Beginner to Master – Othello Transcripts

With reference to the above context, What is the name of the book?",Othello: From Beginner to Master – Othello Transcripts
"1. BLACK TO PLAY

With reference to the above context, What does the title of the book mean?",BLACK TO PLAY
